question,ground_truth
"Apa jerat hukumnya bagi orang yang mendorong orang lain untuk bunuh diri?","Perbuatan mendorong, membantu, atau memberi sarana kepada orang lain untuk melakukan bunuh diri diatur dalam Pasal 462 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan ketentuan tersebut, setiap orang yang mendorong, membantu, atau memberi sarana kepada orang lain untuk bunuh diri dan orang tersebut mati karena bunuh diri, diancam dengan sanksi pidana berupa pidana penjara paling lama 4 tahun."
"Apa hukuman untuk seseorang yang menggunakan nama palsu?","Tindak pidana penipuan diatur dalam Pasal 492 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 492 KUHP, setiap orang yang dengan maksud menguntungkan diri sendiri atau orang lain secara melawan hukum dengan memakai nama palsu atau kedudukan palsu, menggunakan tipu muslihat atau rangkaian kata bohong, menggerakkan orang supaya menyerahkan suatu barang, memberi utang, membuat pengakuan utang, atau menghapus piutang, dipidana karena penipuan dengan pidana penjara paling lama 4 tahun atau pidana denda paling banyak kategori V."
"Saya membeli emas 2 gram berbentuk cincin yang sudah ada logo beratnya. Selesai membeli emas tersebut saya mampir ke kantor pegadaian, ternyata setelah ditimbang di sana kok beratnya tidak ada 2 gram, bagaimana bisa menuntut pidana kepada pedagang emas tersebut?","Tindak pidana penipuan oleh penjual diatur dalam Pasal 493 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 493 KUHP, dipidana dengan pidana penjara paling lama 2 tahun atau pidana denda paling banyak kategori IV, penjual yang menipu pembeli tentang keadaan, sifat, atau banyaknya barang yang diserahkan. Dalam hal pembeli membeli emas cincin 2 gram yang ternyata setelah ditimbang beratnya kurang dari yang diperjanjikan, perbuatan pedagang emas tersebut dapat dijerat dengan pasal ini."
"Suatu ketika, saya memergoki istri saya sedang berselingkuh hingga melakukan hubungan badan. Apakah saya bisa mempidanakan mereka?","Tindak pidana perzinaan diatur dalam Pasal 411 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 411 ayat (1) KUHP, setiap orang yang melakukan persetubuhan dengan orang yang bukan suami atau istrinya, dipidana karena perzinaan dengan pidana penjara paling lama 1 tahun atau pidana denda paling banyak kategori II. Berdasarkan Pasal 411 ayat (2) KUHP, terhadap tindak pidana perzinaan ini tidak dilakukan penuntutan kecuali atas pengaduan suami atau istri bagi orang yang terikat perkawinan, atau orang tua atau anaknya bagi orang yang tidak terikat perkawinan."
"Ada kasus pencurian listrik oleh tetangga dan dikenakan denda pencurian listrik. Apa sebenarnya sanksi pencurian listrik?","Ketentuan mengenai tindak pidana pencurian diatur dalam Pasal 476 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 476 ayat (1) KUHP, setiap orang yang mengambil suatu barang yang sebagian atau seluruhnya milik orang lain dengan maksud untuk dimiliki secara melawan hukum, dipidana karena pencurian dengan pidana penjara paling lama 5 tahun atau pidana denda paling banyak kategori V."
"Dalam UU 1/2023 tentang KUHP baru, tindak pidana penodaan terhadap Bendera Negara dan Lambang Negara diatur dalam pasal berapa?","Tindak pidana penyalahgunaan bendera negara diatur dalam Pasal 235 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan ketentuan tersebut, setiap orang yang memakai bendera negara untuk langit-langit, atap, pembungkus barang, atau reklame komersial dipidana dengan pidana denda paling banyak kategori II."
"Apakah pengaduan kohabitasi bisa dicabut, kapan batas waktunya?","Tindak pidana kohabitasi atau hidup bersama sebagai suami istri di luar perkawinan diatur dalam Pasal 412 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 412 ayat (1) KUHP, setiap orang yang melakukan hidup bersama sebagai suami istri di luar perkawinan dipidana dengan pidana penjara paling lama 6 bulan atau pidana denda paling banyak kategori II. Penuntutan atas tindak pidana ini hanya dilakukan atas pengaduan suami atau istri bagi orang yang terikat perkawinan, atau orang tua atau anaknya bagi orang yang tidak terikat perkawinan, sebagaimana diatur dalam Pasal 412 ayat (2) KUHP. Yang penting diketahui, berdasarkan Pasal 412 ayat (3) KUHP, terhadap pengaduan kohabitasi ini tidak berlaku ketentuan Pasal 25, Pasal 26, dan Pasal 30 mengenai penarikan kembali pengaduan, sehingga pengaduan kohabitasi tidak dapat dicabut kembali setelah diajukan."
"Apakah aksi pelemparan batu ke kereta api bisa dipidana? Jika bisa, apa sanksi hukum yang dapat dikenakan kepada pelaku pelemparan batu?","Tindak pidana yang mengakibatkan bahaya bagi lalu lintas umum kereta api secara sengaja diatur dalam Pasal 323 ayat (1) Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan ketentuan tersebut, setiap orang yang melakukan perbuatan yang mengakibatkan bahaya bagi lalu lintas umum kereta api, dipidana dengan pidana penjara paling lama 7 tahun. Aksi melempar batu ke kereta api yang sedang berjalan merupakan perbuatan sengaja yang membahayakan lalu lintas kereta api dan penumpang di dalamnya."
"Apakah sanksi hukum bagi warga negara Indonesia yang membentuk perkumpulan bukan badan hukum dengan tujuan untuk merdeka dengan tidak mengakui kedaulatan Negara Kesatuan Republik Indonesia tetapi belum masuk kategori gerakan separatis.","Tindak pidana makar untuk memisahkan diri dari Negara Kesatuan Republik Indonesia diatur dalam Pasal 192 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan ketentuan tersebut, setiap orang yang melakukan makar dengan maksud supaya sebagian atau seluruh wilayah NKRI jatuh kepada kekuasaan asing atau untuk memisahkan diri dari NKRI, dipidana dengan pidana mati, pidana penjara seumur hidup, atau pidana penjara paling lama 20 tahun. Tindakan membentuk perkumpulan bertujuan untuk merdeka dan tidak mengakui kedaulatan NKRI memenuhi unsur makar dalam pasal ini."
"Bagaimana jerat hukum menghalangi kegiatan ibadah?","Tindak pidana mengganggu atau merintangi ibadah diatur dalam Pasal 303 Kitab Undang-Undang Hukum Pidana (KUHP). Berdasarkan Pasal 303 ayat (3) KUHP, setiap orang yang dengan kekerasan atau ancaman kekerasan mengganggu, merintangi, atau membubarkan orang yang sedang melaksanakan ibadah atau upacara keagamaan atau kepercayaan, dipidana dengan pidana penjara paling lama 5 tahun atau pidana denda paling banyak kategori IV."
